name,latitude,longitude,free_bikes,empty_slots,total_docks
"002699 - Snow Hill, Farringdon",51.51733427,-0.103604248,0,15,15
"003460 - Warwick Square, Pimlico",51.48985626,-0.141923621,19,0,19
"300227 - Timber Lodge, Queen Elizabeth Olympic Park",51.546805,-0.01469126,11,24,35
"003469 - Cadogan Place, Knightsbridge",51.49464523,-0.158105512,0,33,33
"200207 - Hartington Road, Stockwell",51.47787084,-0.126874471,34,0,34
"200059 - Crisp Road, Hammersmith",51.48810829,-0.22660621,37,4,41
"001129 - Sun Street, Liverpool Street",51.520009,-0.083935724,0,23,23
"001132 - Albert Gate, Hyde Park",51.50295379,-0.158456089,1,32,33
"200070 - Arlington Road, Camden Town",51.539957,-0.145246,6,17,23
"001020 - Leonard Circus , Shoreditch",51.5246962,-0.08443930000001387,6,36,42
"200165 - Wellington Row, Bethnal Green",51.528222,-0.069743,25,8,33
"003491 - Princes Square, Bayswater",51.5134891,-0.191351186,9,6,15
"003477 - Porchester Place, Paddington",51.5147461,-0.1651640000000043,4,11,15
"003478 - Guildhouse Street, Victoria",51.49234577,-0.141334487,12,1,13
"200042 - York Hall, Bethnal Green",51.528936,-0.055894,11,16,27
"200152 - Pitfield Street North,Hoxton",51.53558,-0.08249,24,3,27
"200137 - Caldwell Street, Stockwell",51.477839,-0.116493,38,0,38
"001010 - Cartwright Gardens , Bloomsbury",51.52635795,-0.125979294,4,16,20
"022174 - Granby Street, Shoreditch",51.525645,-0.069543,7,28,35
"001095 - LSBU (Borough Road), Elephant & Castle",51.49874469,-0.103132904,26,9,35
"010632 - Kensington Town Hall, Kensington",51.50194596,-0.194392952,3,15,18
"001090 - Warren Street Station, Euston",51.52443845,-0.138019439,0,23,23
"001163 - Wardour Street, Soho",51.51251523,-0.133201961,2,13,15
"300044 - Putney Bridge Road, East Putney",51.46199911,-0.206240805,19,10,29
"000988 - Great Russell Street, Bloomsbury",51.51772703,-0.127854211,0,23,23
"200184 - Erin Close, Walham Green",51.47946386,-0.195777222,20,2,22
"002683 - Millbank Tower, Pimlico",51.49188409,-0.125674815,21,1,22
"001136 - London Zoo,  The Regent's Park",51.53583617,-0.156285395,8,23,31
"200027 - Ford Road, Old Ford",51.532513,-0.033085,12,4,16
"200092 - Mudchute DLR, Cubitt Town",51.490645,-0.014582,24,3,27
"200167 - Twig Folly Bridge, Mile End",51.530326,-0.042744,9,9,18
"200236 - Greenberry Street, St.John's Wood",51.53256,-0.16862,16,10,26
"001130 - Grove End Road, St. John's Wood",51.53088935,-0.176770502,15,5,20
"003451 - Golden Square, Soho",51.5118973,-0.137043852,0,16,16
"001124 - Sumner Place, South Kensington",51.49121192,-0.173715911,0,17,17
"200058 - Northdown Street, King's Cross",51.531066,-0.11934,4,17,21
"300051 - Hibbert Street, Battersea",51.46517078,-0.18038939,20,13,33
"001058 - Edgware Road Station, Marylebone",51.519968,-0.169774,3,61,64
"200054 - Jubilee Crescent, Cubitt Town",51.493381,-0.007542,50,2,52
"200036 - Bell Lane, Liverpool Street",51.517475,-0.075855,1,20,21
"001104 - Claremont Square, Angel",51.53166681,-0.109914711,9,7,16
"001102 - Leman Street, Aldgate",51.51236389,-0.06954201,4,33,37
"001040 - West Smithfield Rotunda, Farringdon",51.51821864,-0.100791005,3,12,15
"001007 - Drury Lane, Covent Garden",51.51477076,-0.12221963,1,25,26
"300201 - Coram Street, Bloomsbury",51.524,-0.12640984,3,26,29
"300052 - Parsons Green Station, Parsons Green",51.475089,-0.201968,30,23,53
"003482 - Beaumont Street, Marylebone",51.52200801,-0.151359288,3,20,23
"001208 - Dickens Square, Borough",51.49679128,-0.093913472,28,4,32
"003505 - Marloes Road, Kensington",51.496481,-0.192404,10,3,13
"200131 - Clarkson Street, Bethnal Green",51.528692,-0.059091,10,19,29
"001171 - New Road 1 , Whitechapel",51.518154,-0.062697,12,22,34
"001085 - Old Quebec Street, Marylebone",51.51457763,-0.158264483,0,14,14
"300071 - Elgin Avenue, Maida Hill",51.524309,-0.20123459999999227,3,11,14
"200224 - Colet Gardens, Hammersmith",51.491093,-0.216493,16,14,30
"000965 - Tachbrook Street, Victoria",51.49211134,-0.138364847,12,1,13
"200208 - Sugden Road, Clapham",51.46512358,-0.157788279,18,0,18
"001089 - Queen's Gate (Central), South Kensington",51.49396755,-0.17873226,0,31,31
"200255 - Devons Road, Bow",51.52512,-0.015578,20,19,39
"200199 - Stanley Grove, Battersea",51.47047503,-0.152130083,23,0,23
"200163 - Jubilee Plaza, Canary Wharf",51.5034,-0.020242300000006708,13,43,56
"001071 - Tower Gardens , Tower",51.50950627,-0.075459482,3,19,22
"001000 - Vauxhall Cross, Vauxhall",51.48591714,-0.124469948,8,8,16
"200094 - St. Bride Street, Holborn",51.51505991,-0.10534448,0,25,25
"300221 - Battersea Power Station, Battersea Park",51.4835074867,-0.147714557371,9,17,26
"200122 - Hawley Crescent, Camden Town",51.54100708,-0.14326094,8,13,21
"200147 - Salmon Lane, Limehouse",51.514115,-0.033828,29,4,33
"002639 - King Edward Walk, Waterloo",51.49775,-0.10988,22,0,22
"003495 - Wells Street, Fitzrovia",51.51734403,-0.138072691,0,34,34
"001045 - Jewry Street, Aldgate",51.51340693,-0.076793375,0,14,14
"001001 - West Cromwell Road, Earl's Court",51.49372451,-0.198286569,21,2,23
"200093 - Thurtle Road, Haggerston",51.534776,-0.071881,15,6,21
"300049 - Aylward Street, Stepney",51.51563007,-0.049067243,13,8,21
"200223 - Ashmole Estate, Oval",51.48267821,-0.117661574,26,7,33
"001133 - Baylis Road, Waterloo",51.50144456,-0.110699309,7,14,21
"000961 - Union Street, The Borough",51.50368837,-0.098497684,2,13,15
"200233 - South Quay East, Canary Wharf",51.50196,-0.016251,22,11,33
"200108 - Bishop's Bridge Road East, Bayswater",51.5171,-0.18377,9,9,18
"001162 - Dorset Square, Marylebone",51.5225965,-0.161113413,14,0,14
"002637 - Bermondsey Street, Bermondsey",51.49785559,-0.081608045,22,0,22
"001135 - Claverton Street, Pimlico",51.48483991,-0.138089062,31,1,32
"003436 - Derry Street, Kensington",51.50136494,-0.191462381,2,13,15
"001175 - Mallory Street, Marylebone",51.52505151,-0.166304359,6,14,20
"300098 - Hurlingham Park, Parsons Green",51.470131,-0.20464,14,5,19
"001127 - Risinghill Street, Angel",51.5333196,-0.1117811999999958,9,12,21
"001031 - Nesham Street, Wapping",51.507131,-0.06691,14,1,15
"001182 - Notting Hill Gate Station, Notting Hill",51.50935342,-0.196422,0,26,26
"200193 - Snowsfields, London Bridge",51.50215353,-0.083632928,5,25,30
"200214 - Woodstock Grove, Shepherd's Bush",51.50403821,-0.217400093,22,1,23
"300202 - Kings Gate House, Westminster",51.4976984561,-0.137598896295,2,21,23
"300240 - Lincoln's Inn Fields, Holborn",51.5162778834,-0.118272991635,0,26,26
"001049 - Finsbury Leisure Centre, St. Luke's",51.52600832,-0.096317627,16,3,19
"300042 - Upper Richmond Road, Putney",51.45971528,-0.212145939,14,11,25
"001228 - Southampton Street, Strand",51.51070161,-0.121723604,0,13,13
"001011 - Argyle Street, Kings Cross",51.529416,-0.12394439999999918,18,22,40
"001078 - Lambeth Road, Vauxhall",51.49488108,-0.117974901,5,11,16
"200221 - Crabtree Lane, Fulham",51.48294452,-0.219346128,23,2,25
"001113 - Trebovir Road, Earl's Court",51.49085368,-0.196170309,14,2,16
"002669 - Charlotte Street, Fitzrovia",51.51953043,-0.13577731,0,10,10
"200056 - Vauxhall Walk, Vauxhall",51.488124,-0.120903,27,0,27
"022178 - Lindfield Street, Poplar",51.513757,-0.020467,10,33,43
"003483 - Fashion Street, Whitechapel",51.51838043,-0.073438925,0,29,29
"001018 - Phillimore Gardens, Kensington",51.49960695,-0.197574246,20,17,37
"001226 - Macclesfield Rd, St Lukes",51.529423,-0.097122,27,0,27
"300235 - York Way, Kings Cross",51.541596,-0.12544145,12,12,24
"300094 - Plough Terrace, Clapham Junction",51.46230566,-0.175407201,11,20,31
"001052 - Soho Square , Soho",51.51563144,-0.132328837,0,54,54
"200023 - Heath Road, Battersea",51.46866929,-0.146544642,18,0,18
"003490 - Southwick Street, Paddington",51.51595344,-0.169249375,2,13,15
"300214 - Blackfriars Road, Southwark",51.505461,-0.10454093,23,19,42
"001005 - Eversholt Street , Camden Town",51.53300545,-0.136792671,13,2,15
"002636 - Prince Albert Road, The Regent's Park",51.53589283,-0.160854428,5,18,23
"300100 - Limburg Road, Clapham Junction",51.4619231,-0.165297900000013,14,7,21
"002685 - South Kensington Station, South Kensington",51.494412,-0.173881,0,14,14
"000991 - Crosswall, Tower",51.51159481,-0.077121322,8,26,34
"003480 - Smith Square, Westminster",51.49580589,-0.127575233,0,18,18
"001150 - Queensway, Kensington Gardens",51.51031,-0.18740235,8,5,13
"001203 - Eastbourne Mews, Paddington",51.51641749,-0.179135079,20,13,33
"001016 - Hereford Road, Bayswater",51.513735,-0.193487,20,0,20
"000971 - Godliman Street, St. Paul's",51.51248445,-0.099141408,0,24,24
"200012 - Stepney Green Station, Stepney",51.521889,-0.04667,15,6,21
"001093 - Kennington Cross, Kennington",51.48894022,-0.111435796,44,0,44
"001220 - Imperial College, Knightsbridge",51.49942855,-0.179702476,0,19,19
"200051 - Percival Street, Finsbury",51.526153,-0.102208,20,1,21
"300002 - Brook Green South, Brook Green",51.49434708,-0.215804559,28,1,29
"001017 - Great Dover Street, The Borough",51.49738251,-0.089446947,24,7,31
"200090 - Pennington Street, Wapping",51.508622,-0.065006,8,34,42
"010628 - Cleaver Street, Kennington",51.488105,-0.110121,16,0,16
