name,longitude,latitude
"001028 - William IV Street, Strand",-0.124749274,51.50946212
"200201 - Battersea Church Road, Battersea",-0.174347066,51.47696496
"300249 - Westminster Pier, Westminster",-0.12382322,51.501513
"003487 - Campden Hill Road, Notting Hill",-0.199004026,51.50658458
"200032 - Kennington Oval, Oval",-0.113134,51.483145
"200034 - Wapping Lane, Wapping",-0.057544,51.504749
"200099 - Upper Bank Street, Canary Wharf",-0.017676,51.503083
"200154 - Hansard Mews, Holland Park",-0.215808,51.503802
"300055 - Stewart's Road, Wandsworth Road",-0.137235175,51.47311696
"200068 - Somerset House, Strand",-0.117619,51.509943
"003465 - Eccleston Place, Victoria",-0.147624377,51.49395092
"300012 - Irene Road, Parsons Green",-0.197010096,51.4737636
"003506 - Stanhope Gate, Mayfair",-0.150666888,51.50686435
"010631 - Holland Park, Kensington",-0.200742,51.502319
"200161 - Clinton Road, Mile End",-0.036017,51.525941
"001196 - Vincent Square, Westminster",-0.136928582,51.49398524
"200142 - Hammersmith Road, Hammersmith",-0.21985,51.493267
"001073 - Kennington Road Post Office, Oval",-0.110683213,51.48478899
"300003 - Eel Brook Common, Walham Green",-0.193254007,51.47625965
"300238 - Southwark Street, Bankside",-0.0983410884509,51.5054099403
"000981 - British Museum, Bloomsbury",-0.124678402,51.51908011
"001101 - Knightsbridge, Hyde Park",-0.155349725,51.50275704
"001091 - St. John's Wood Church, The Regent's Park",-0.167515,51.530529
"003479 - Old Brompton Road, South Kensington",-0.181190899,51.49094565
"300096 - Tallis Street, Temple",-0.107349,51.511891
"300246 - Belvedere Road 2, South Bank",-0.114842,51.50621
"200088 - Clarges Street, Mayfair",-0.145827,51.507326
"022176 - Reardon Street, Wapping",-0.058681,51.506946
"200237 - Parson's Green , Parson's Green",-0.199783,51.472817
"200004 - Lightermans Road, Millwall",-0.020157,51.499041
"002699 - Snow Hill, Farringdon",-0.103604248,51.51733427
"003460 - Warwick Square, Pimlico",-0.141923621,51.48985626
"300227 - Timber Lodge, Queen Elizabeth Olympic Park",-0.01469126,51.546805
"003469 - Cadogan Place, Knightsbridge",-0.158105512,51.49464523
"010624 - Strata, Elephant & Castle",-0.099828,51.493146
"200207 - Hartington Road, Stockwell",-0.126874471,51.47787084
"200059 - Crisp Road, Hammersmith",-0.22660621,51.48810829
"001129 - Sun Street, Liverpool Street",-0.083935724,51.520009
"001132 - Albert Gate, Hyde Park",-0.158456089,51.50295379
"200070 - Arlington Road, Camden Town",-0.145246,51.539957
"001020 - Leonard Circus , Shoreditch",-0.08443930000001387,51.5246962
"200165 - Wellington Row, Bethnal Green",-0.069743,51.528222
"003491 - Princes Square, Bayswater",-0.191351186,51.5134891
"003477 - Porchester Place, Paddington",-0.1651640000000043,51.5147461
"003478 - Guildhouse Street, Victoria",-0.141334487,51.49234577
"200042 - York Hall, Bethnal Green",-0.055894,51.528936
"200152 - Pitfield Street North,Hoxton",-0.08249,51.53558
"200137 - Caldwell Street, Stockwell",-0.116493,51.477839
"001010 - Cartwright Gardens , Bloomsbury",-0.125979294,51.52635795
"022174 - Granby Street, Shoreditch",-0.069543,51.525645
"001095 - LSBU (Borough Road), Elephant & Castle",-0.103132904,51.49874469
"010632 - Kensington Town Hall, Kensington",-0.194392952,51.50194596
"001090 - Warren Street Station, Euston",-0.138019439,51.52443845
"001163 - Wardour Street, Soho",-0.133201961,51.51251523
"300044 - Putney Bridge Road, East Putney",-0.206240805,51.46199911
"000988 - Great Russell Street, Bloomsbury",-0.127854211,51.51772703
"200184 - Erin Close, Walham Green",-0.195777222,51.47946386
"002683 - Millbank Tower, Pimlico",-0.125674815,51.49188409
"001136 - London Zoo,  The Regent's Park",-0.156285395,51.53583617
"200027 - Ford Road, Old Ford",-0.033085,51.532513
"200092 - Mudchute DLR, Cubitt Town",-0.014582,51.490645
"200167 - Twig Folly Bridge, Mile End",-0.042744,51.530326
"200236 - Greenberry Street, St.John's Wood",-0.16862,51.53256
"001130 - Grove End Road, St. John's Wood",-0.176770502,51.53088935
"003451 - Golden Square, Soho",-0.137043852,51.5118973
"001124 - Sumner Place, South Kensington",-0.173715911,51.49121192
"200058 - Northdown Street, King's Cross",-0.11934,51.531066
"300051 - Hibbert Street, Battersea",-0.18038939,51.46517078
"001058 - Edgware Road Station, Marylebone",-0.169774,51.519968
"200054 - Jubilee Crescent, Cubitt Town",-0.007542,51.493381
"200036 - Bell Lane, Liverpool Street",-0.075855,51.517475
"001104 - Claremont Square, Angel",-0.109914711,51.53166681
"001102 - Leman Street, Aldgate",-0.06954201,51.51236389
"001040 - West Smithfield Rotunda, Farringdon",-0.100791005,51.51821864
"001007 - Drury Lane, Covent Garden",-0.12221963,51.51477076
"300201 - Coram Street, Bloomsbury",-0.12640984,51.524
"300052 - Parsons Green Station, Parsons Green",-0.201968,51.475089
"003482 - Beaumont Street, Marylebone",-0.151359288,51.52200801
"001208 - Dickens Square, Borough",-0.093913472,51.49679128
"003505 - Marloes Road, Kensington",-0.192404,51.496481
"200131 - Clarkson Street, Bethnal Green",-0.059091,51.528692
"001171 - New Road 1 , Whitechapel",-0.062697,51.518154
"001085 - Old Quebec Street, Marylebone",-0.158264483,51.51457763
"300071 - Elgin Avenue, Maida Hill",-0.20123459999999227,51.524309
"200224 - Colet Gardens, Hammersmith",-0.216493,51.491093
"000965 - Tachbrook Street, Victoria",-0.138364847,51.49211134
"200208 - Sugden Road, Clapham",-0.157788279,51.46512358
"001089 - Queen's Gate (Central), South Kensington",-0.17873226,51.49396755
"200255 - Devons Road, Bow",-0.015578,51.52512
"200199 - Stanley Grove, Battersea",-0.152130083,51.47047503
"200163 - Jubilee Plaza, Canary Wharf",-0.020242300000006708,51.5034
"001071 - Tower Gardens , Tower",-0.075459482,51.50950627
"001000 - Vauxhall Cross, Vauxhall",-0.124469948,51.48591714
"200094 - St. Bride Street, Holborn",-0.10534448,51.51505991
"300221 - Battersea Power Station, Battersea Park",-0.147714557371,51.4835074867
"200122 - Hawley Crescent, Camden Town",-0.14326094,51.54100708
"200147 - Salmon Lane, Limehouse",-0.033828,51.514115
"002639 - King Edward Walk, Waterloo",-0.10988,51.49775
"003495 - Wells Street, Fitzrovia",-0.138072691,51.51734403
"001045 - Jewry Street, Aldgate",-0.076793375,51.51340693
"001001 - West Cromwell Road, Earl's Court",-0.198286569,51.49372451
"200093 - Thurtle Road, Haggerston",-0.071881,51.534776
"300049 - Aylward Street, Stepney",-0.049067243,51.51563007
"200223 - Ashmole Estate, Oval",-0.117661574,51.48267821
"001133 - Baylis Road, Waterloo",-0.110699309,51.50144456
"000961 - Union Street, The Borough",-0.098497684,51.50368837
"200233 - South Quay East, Canary Wharf",-0.016251,51.50196
"200108 - Bishop's Bridge Road East, Bayswater",-0.18377,51.5171
"001162 - Dorset Square, Marylebone",-0.161113413,51.5225965
"002637 - Bermondsey Street, Bermondsey",-0.081608045,51.49785559
"001135 - Claverton Street, Pimlico",-0.138089062,51.48483991
"003436 - Derry Street, Kensington",-0.191462381,51.50136494
"001175 - Mallory Street, Marylebone",-0.166304359,51.52505151
"300098 - Hurlingham Park, Parsons Green",-0.20464,51.470131
"001127 - Risinghill Street, Angel",-0.1117811999999958,51.5333196
"001031 - Nesham Street, Wapping",-0.06691,51.507131
"001182 - Notting Hill Gate Station, Notting Hill",-0.196422,51.50935342
"200193 - Snowsfields, London Bridge",-0.083632928,51.50215353
"200214 - Woodstock Grove, Shepherd's Bush",-0.217400093,51.50403821
"300202 - Kings Gate House, Westminster",-0.137598896295,51.4976984561
"300240 - Lincoln's Inn Fields, Holborn",-0.118272991635,51.5162778834
"001049 - Finsbury Leisure Centre, St. Luke's",-0.096317627,51.52600832
"300042 - Upper Richmond Road, Putney",-0.212145939,51.45971528
"001228 - Southampton Street, Strand",-0.121723604,51.51070161
"001011 - Argyle Street, Kings Cross",-0.12394439999999918,51.529416
"001078 - Lambeth Road, Vauxhall",-0.117974901,51.49488108
"200221 - Crabtree Lane, Fulham",-0.219346128,51.48294452
"001113 - Trebovir Road, Earl's Court",-0.196170309,51.49085368
"002669 - Charlotte Street, Fitzrovia",-0.13577731,51.51953043
"200056 - Vauxhall Walk, Vauxhall",-0.120903,51.488124
"022178 - Lindfield Street, Poplar",-0.020467,51.513757
"003483 - Fashion Street, Whitechapel",-0.073438925,51.51838043
"001018 - Phillimore Gardens, Kensington",-0.197574246,51.49960695
"001226 - Macclesfield Rd, St Lukes",-0.097122,51.529423
"300235 - York Way, Kings Cross",-0.12544145,51.541596
"300094 - Plough Terrace, Clapham Junction",-0.175407201,51.46230566
"001052 - Soho Square , Soho",-0.132328837,51.51563144
"200023 - Heath Road, Battersea",-0.146544642,51.46866929
"003490 - Southwick Street, Paddington",-0.169249375,51.51595344
"300214 - Blackfriars Road, Southwark",-0.10454093,51.505461
"001005 - Eversholt Street , Camden Town",-0.136792671,51.53300545
"002636 - Prince Albert Road, The Regent's Park",-0.160854428,51.53589283
"300100 - Limburg Road, Clapham Junction",-0.165297900000013,51.4619231
"002685 - South Kensington Station, South Kensington",-0.173881,51.494412
"000991 - Crosswall, Tower",-0.077121322,51.51159481
"003480 - Smith Square, Westminster",-0.127575233,51.49580589
"001150 - Queensway, Kensington Gardens",-0.18740235,51.51031
"001203 - Eastbourne Mews, Paddington",-0.179135079,51.51641749
"001016 - Hereford Road, Bayswater",-0.193487,51.513735
"000971 - Godliman Street, St. Paul's",-0.099141408,51.51248445
"200012 - Stepney Green Station, Stepney",-0.04667,51.521889
"001093 - Kennington Cross, Kennington",-0.111435796,51.48894022
"001220 - Imperial College, Knightsbridge",-0.179702476,51.49942855
"200051 - Percival Street, Finsbury",-0.102208,51.526153
"300002 - Brook Green South, Brook Green",-0.215804559,51.49434708
"001017 - Great Dover Street, The Borough",-0.089446947,51.49738251
"200090 - Pennington Street, Wapping",-0.065006,51.508622
"010628 - Cleaver Street, Kennington",-0.110121,51.488105
"200256 - Sutton Street, Shadwell",-0.053558,51.511066
"200021 - Hermitage Court, Wapping",-0.063531,51.504719
"200128 - Queen Street 2, Bank",-0.093051,51.511246
"300093 - Park Lane, Mayfair",-0.150817316,51.50542628
"001063 - Wood Street, Guildhall",-0.09388536,51.51700801
"200183 - Battersea Park Road, Nine Elms",-0.141770709,51.4795017
"002667 - Tower Wharf, Bermondsey",-0.074704305,51.500845
"200039 - Sail Street, Vauxhall",-0.114605,51.495656
"001166 - Bell Street , Marylebone",-0.165842551,51.52202903
